title,gowatchitID,created_at,updated_at,title_type,director,release_date
300,,,,Feature Film,Zack Snyder,12/9/06
"20,000 Days on Earth",,,,Documentary,"Iain Forsyth, Jane Pollard",1/20/14
3:10 to Yuma,,,,Feature Film,James Mangold,8/21/07
A Bug's Life,,,,Feature Film,"John Lasseter, Andrew Stanton",11/14/98
A New Leaf,,,,Feature Film,Elaine May,3/11/71
A Very Harold & Kumar 3D Christmas,,,,Feature Film,Todd Strauss-Schulson,11/4/11
Adaptation.,,,,Feature Film,Spike Jonze,12/6/02
After the Thin Man,,,,Feature Film,W.S. Van Dyke,12/25/36
Alien,,,,Feature Film,Ridley Scott,5/25/79
Alien,,,,Feature Film,Ridley Scott,5/25/79
Alien: Resurrection,,,,Feature Film,Jean-Pierre Jeunet,11/6/97
AlienŒ_,,,,Feature Film,David Fincher,5/22/92
Aliens,,,,Feature Film,James Cameron,7/18/86
All Is Bright,,,,Feature Film,Phil Morrison,4/18/13
Amí©lie,,,,Feature Film,Jean-Pierre Jeunet,4/25/01
American Flyers,,,,Feature Film,John Badham,8/16/85
American Psycho,,,,Feature Film,Mary Harron,1/21/00
Anchorman: The Legend of Ron Burgundy,,,,Feature Film,Adam McKay,6/28/04
Annie Hall,,,,Feature Film,Woody Allen,4/20/77
Arrested Development,,,,TV Series,,11/2/03
As Good as It Gets,,,,Feature Film,James L. Brooks,12/19/97
Attack the Block,,,,Feature Film,Joe Cornish,3/12/11
Austin Powers: The Spy Who Shagged Me,,,,Feature Film,Jay Roach,6/8/99
AVP: Alien vs. Predator,,,,Feature Film,Paul W.S. Anderson,8/12/04
Baby Mama,,,,Feature Film,Michael McCullers,4/23/08
Back to the Future,,,,Feature Film,Robert Zemeckis,7/3/85
Bad Words,,,,Feature Film,Jason Bateman,9/6/13
Batman,,,,Feature Film,Tim Burton,6/19/89
Batman Returns,,,,Feature Film,Tim Burton,6/16/92
Bean,,,,Feature Film,Mel Smith,7/3/97
Bedazzled,,,,Feature Film,Harold Ramis,10/17/00
Beerfest,,,,Feature Film,Jay Chandrasekhar,8/25/06
Beetlejuice,,,,Feature Film,Tim Burton,3/29/88
Betsy's Wedding,,,,Feature Film,Alan Alda,6/22/90
Big Business,,,,Feature Film,Jim Abrahams,6/10/88
Blade II,,,,Feature Film,Guillermo del Toro,3/21/02
Blades of Glory,,,,Feature Film,"Josh Gordon, Will Speck",3/30/07
Blazing Saddles,,,,Feature Film,Mel Brooks,2/7/74
Blow,,,,Feature Film,Ted Demme,3/29/01
Borgman,,,,Feature Film,Alex van Warmerdam,5/19/13
Brick,,,,Feature Film,Rian Johnson,2005-01
Bridget Jones's Diary,,,,Feature Film,Sharon Maguire,4/4/01
Casa de mi Padre,,,,Feature Film,Matt Piedmont,3/13/12
Cheap Thrills,,,,Feature Film,E.L. Katz,3/8/13
Children of Men,,,,Feature Film,Alfonso Cuarí_n,9/3/06
Citizen Kane,,,,Feature Film,Orson Welles,5/1/41
Club Paradise,,,,Feature Film,Harold Ramis,7/11/86
Cold Mountain,,,,Feature Film,Anthony Minghella,12/25/03
Crocodile Dundee,,,,Feature Film,Peter Faiman,4/24/86
"Crouching Tiger, Hidden Dragon",,,,Feature Film,Ang Lee,5/16/00
Daybreakers,,,,Feature Film,"The Spierig Brothers, The Spierig Brothers",9/11/09
Dead Poets Society,,,,Feature Film,Peter Weir,6/2/89
Death to Smoochy,,,,Feature Film,Danny DeVito,2/28/02
Demolition Man,,,,Feature Film,Marco Brambilla,10/7/93
Desperado,,,,Feature Film,Robert Rodriguez,1995-05
Die Hard,,,,Feature Film,John McTiernan,7/12/88
Die Hard: With a Vengeance,,,,Feature Film,John McTiernan,5/15/95
District 9,,,,Feature Film,Neill Blomkamp,8/13/09
Django Unchained,,,,Feature Film,Quentin Tarantino,12/11/12
Dogma,,,,Feature Film,Kevin Smith,5/21/99
Dom Hemingway,,,,Feature Film,Richard Shepard,9/8/13
Elf,,,,Feature Film,Jon Favreau,10/9/03
Enron: The Smartest Guys in the Room,,,,Documentary,Alex Gibney,4/22/05
Ever After: A Cinderella Story,,,,Feature Film,Andy Tennant,7/29/98
Ex Machina,,,,Feature Film,Alex Garland,1/21/15
Family Guy: Blue Harvest,,,,TV Episode,"Dominic Polcino, James Purdum",9/23/07
Fantastic Mr. Fox,,,,Feature Film,Wes Anderson,10/14/09
Ferris Bueller's Day Off,,,,Feature Film,John Hughes,6/11/86
Fever Pitch,,,,Feature Film,"Bobby Farrelly, Peter Farrelly",4/6/05
Fight Club,,,,Feature Film,David Fincher,9/10/99
Filth,,,,Feature Film,Jon S. Baird,9/16/13
Flight of the Conchords,,,,TV Series,,6/17/07
Forgetting Sarah Marshall,,,,Feature Film,Nicholas Stoller,3/10/08
Freaks and Geeks,,,,TV Series,,9/25/99
French Kiss,,,,Feature Film,Lawrence Kasdan,5/5/95
Fried Green Tomatoes,,,,Feature Film,Jon Avnet,12/27/91
Fright Night,,,,Feature Film,Craig Gillespie,8/14/11
From Dusk Till Dawn,,,,Feature Film,Robert Rodriguez,1/19/96
Galaxy Quest,,,,Feature Film,Dean Parisot,12/23/99
Gentlemen Prefer Blondes,,,,Feature Film,Howard Hawks,7/1/53
Ghostbusters,,,,Feature Film,Ivan Reitman,6/7/84
Ghostbusters II,,,,Feature Film,Ivan Reitman,6/16/89
Gladiator,,,,Feature Film,Ridley Scott,5/1/00
"Good Morning, Vietnam",,,,Feature Film,Barry Levinson,12/23/87
Goodfellas,,,,Feature Film,Martin Scorsese,9/11/90
Grandma's Boy,,,,Feature Film,Nicholaus Goossen,1/6/06
Groundhog Day,,,,Feature Film,Harold Ramis,2/12/93
Guest Wife,,,,Feature Film,Sam Wood,7/27/45
Harry Potter and the Chamber of Secrets,,,,Feature Film,Chris Columbus,11/3/02
Harry Potter and the Deathly Hallows: Part 1,,,,Feature Film,David Yates,11/11/10
Harry Potter and the Deathly Hallows: Part 2,,,,Feature Film,David Yates,7/7/11
Harry Potter and the Goblet of Fire,,,,Feature Film,Mike Newell,11/6/05
Harry Potter and the Half-Blood Prince,,,,Feature Film,David Yates,7/6/09
Harry Potter and the Order of the Phoenix,,,,Feature Film,David Yates,6/28/07
Harry Potter and the Prisoner of Azkaban,,,,Feature Film,Alfonso Cuarí_n,5/31/04
Harry Potter and the Sorcerer's Stone,,,,Feature Film,Chris Columbus,11/4/01
Harvey,,,,Feature Film,Henry Koster,10/13/50
Haywire,,,,Feature Film,Steven Soderbergh,11/7/11
Heartbreakers,,,,Feature Film,David Mirkin,3/23/01
Hellboy II: The Golden Army,,,,Feature Film,Guillermo del Toro,6/28/08
Home Alone,,,,Feature Film,Chris Columbus,11/10/90
Home Alone 2: Lost in New York,,,,Feature Film,Chris Columbus,11/15/92
Home Fries,,,,Feature Film,Dean Parisot,9/16/98
How the Grinch Stole Christmas!,,,,TV Movie,"Chuck Jones, Ben Washam",12/18/66
Hugo,,,,Feature Film,Martin Scorsese,10/10/11
Hunter,,,,Feature Film,Marcus A. Stricklin,2/28/14
I Am Legend,,,,Feature Film,Francis Lawrence,12/5/07
I Love You to Death,,,,Feature Film,Lawrence Kasdan,4/6/90
"I Love You, Man",,,,Feature Film,John Hamburg,3/20/09
In Bruges,,,,Feature Film,Martin McDonagh,1/17/08
Inception,,,,Feature Film,Christopher Nolan,7/8/10
Independence Day,,,,Feature Film,Roland Emmerich,6/25/96
Indiana Jones and the Kingdom of the Crystal Skull,,,,Feature Film,Steven Spielberg,5/18/08
Indiana Jones and the Last Crusade,,,,Feature Film,Steven Spielberg,5/24/89
Indiana Jones and the Temple of Doom,,,,Feature Film,Steven Spielberg,5/23/84
Inglourious Basterds,,,,Feature Film,Quentin Tarantino,5/20/09
Inherent Vice,,,,Feature Film,Paul Thomas Anderson,10/4/14
Interview with the Vampire: The Vampire Chronicles,,,,Feature Film,Neil Jordan,11/9/94
It Might Get Loud,,,,Documentary,Davis Guggenheim,9/5/08
It's Complicated,,,,Feature Film,Nancy Meyers,12/10/09
Jackie Brown,,,,Feature Film,Quentin Tarantino,12/25/97
Jawbreaker,,,,Feature Film,Darren Stein,1/30/99
Jurassic Park,,,,Feature Film,Steven Spielberg,6/9/93
Jurassic Park III,,,,Feature Film,Joe Johnston,7/16/01
Just Friends,,,,Feature Film,Roger Kumble,11/23/05
Kill Bill: Vol. 1,,,,Feature Film,Quentin Tarantino,10/10/03
Kill Bill: Vol. 2,,,,Feature Film,Quentin Tarantino,4/16/04
Kiss Kiss Bang Bang,,,,Feature Film,Shane Black,5/14/05
Knocked Up,,,,Feature Film,Judd Apatow,3/12/07
Lady in the Water,,,,Feature Film,M. Night Shyamalan,7/20/06
Lake Placid,,,,Feature Film,Steve Miner,7/15/99
Land of the Lost,,,,Feature Film,Brad Silberling,6/5/09
Legends of the Fall,,,,Feature Film,Edward Zwick,12/23/94
Life of Brian,,,,Feature Film,Terry Jones,8/17/79
Little Miss Sunshine,,,,Feature Film,"Jonathan Dayton, Valerie Faris",1/20/06
Little Nicky,,,,Feature Film,Steven Brill,11/2/00
Looper,,,,Feature Film,Rian Johnson,9/6/12
Loser,,,,Feature Film,Amy Heckerling,7/20/00
Machete,,,,Feature Film,"Ethan Maniquis, Robert Rodriguez",9/1/10
Mad Max: Fury Road,,,,Feature Film,George Miller,5/7/15
Maleficent,,,,Feature Film,Robert Stromberg,5/28/14
Manhattan,,,,Feature Film,Woody Allen,4/25/79
Mars Attacks!,,,,Feature Film,Tim Burton,12/12/96
Master and Commander: The Far Side of the World,,,,Feature Film,Peter Weir,11/14/03
Mean Girls,,,,Feature Film,Mark Waters,4/19/04
Melancholia,,,,Feature Film,Lars von Trier,5/18/11
Men in Black,,,,Feature Film,Barry Sonnenfeld,7/2/97
Miami Connection,,,,Feature Film,Richard Park,1987-05
Mildred Pierce,,,,Feature Film,Michael Curtiz,9/24/45
Miss Congeniality,,,,Feature Film,Donald Petrie,12/14/00
Mona Lisa Smile,,,,Feature Film,Mike Newell,12/19/03
Mood Indigo,,,,Feature Film,Michel Gondry,4/24/13
Moonrise Kingdom,,,,Feature Film,Wes Anderson,5/16/12
Mortal Kombat,,,,Feature Film,Paul Anderson,7/13/95
Mr. & Mrs. Smith,,,,Feature Film,Doug Liman,6/7/05
Ms .45,,,,Feature Film,Abel Ferrara,4/24/81
Napoleon Dynamite,,,,Feature Film,Jared Hess,1/17/04
Never Been Kissed,,,,Feature Film,Raja Gosnell,3/30/99
Not Another Teen Movie,,,,Feature Film,Joel Gallen,12/7/01
Nothing Bad Can Happen,,,,Feature Film,Katrin Gebbe,5/23/13
Notorious,,,,Feature Film,Alfred Hitchcock,8/15/46
Ocean's Eleven,,,,Feature Film,Steven Soderbergh,12/5/01
Office Space,,,,Feature Film,Mike Judge,2/19/99
Old School,,,,Feature Film,Todd Phillips,2/13/03
Once Upon a Time in Mexico,,,,Feature Film,Robert Rodriguez,8/27/03
One Flew Over the Cuckoo's Nest,,,,Feature Film,Milos Forman,11/19/75
Only Lovers Left Alive,,,,Feature Film,Jim Jarmusch,5/25/13
Pay It Forward,,,,Feature Film,Mimi Leder,10/12/00
Pillow Talk,,,,Feature Film,Michael Gordon,10/6/59
"Play It Again, Sam",,,,Feature Film,Herbert Ross,5/4/72
Playing by Heart,,,,Feature Film,Willard Carroll,12/18/98
Predator,,,,Feature Film,John McTiernan,6/12/87
Predators,,,,Feature Film,Nimrí_d Antal,7/7/10
Prelude to a Kiss,,,,Feature Film,Norman Rení©,7/10/92
Pretty in Pink,,,,Feature Film,Howard Deutch,2/28/86
Prometheus,,,,Feature Film,Ridley Scott,5/30/12
Pulp Fiction,,,,Feature Film,Quentin Tarantino,5/12/94
Raiders of the Lost Ark,,,,Feature Film,Steven Spielberg,6/12/81
Raising Arizona,,,,Feature Film,Joel Coen,3/6/87
Rebecca,,,,Feature Film,Alfred Hitchcock,3/27/40
Reservoir Dogs,,,,Feature Film,Quentin Tarantino,1/21/92
RoboCop,,,,Feature Film,Paul Verhoeven,7/17/87
Robot Chicken,,,,TV Series,,2/20/05
RocknRolla,,,,Feature Film,Guy Ritchie,9/4/08
Role Models,,,,Feature Film,David Wain,10/22/08
Running on Empty,,,,Feature Film,Sidney Lumet,9/7/88
Ruthless People,,,,Feature Film,"Jim Abrahams, David Zucker",6/27/86
S.W.A.T.,,,,Feature Film,Clark Johnson,8/8/03
Scrooged,,,,Feature Film,Richard Donner,11/23/88
Sex and the City,,,,Feature Film,Michael Patrick King,5/12/08
Shadow of a Doubt,,,,Feature Film,Alfred Hitchcock,1/12/43
Shallow Hal,,,,Feature Film,"Bobby Farrelly, Peter Farrelly",11/1/01
Shaun of the Dead,,,,Feature Film,Edgar Wright,3/29/04
Shoot 'Em Up,,,,Feature Film,Michael Davis,7/26/07
Shrek,,,,Feature Film,"Andrew Adamson, Vicky Jenson",4/22/01
Shrek 2,,,,Feature Film,"Andrew Adamson, Kelly Asbury",5/15/04
Sleeping Beauty,,,,Feature Film,Clyde Geronimi,1/29/59
Sleepy Hollow,,,,Feature Film,Tim Burton,11/17/99
Snatch.,,,,Feature Film,Guy Ritchie,8/23/00
Snowpiercer,,,,Feature Film,Bong Joon Ho,7/29/13
Some Like It Hot,,,,Feature Film,Billy Wilder,3/29/59
Spaceballs,,,,Feature Film,Mel Brooks,6/24/87
Spellbound,,,,Feature Film,Alfred Hitchcock,10/31/45
Spies Like Us,,,,Feature Film,John Landis,12/6/85
Star Trek,,,,Feature Film,J.J. Abrams,4/6/09
Star Trek Into Darkness,,,,Feature Film,J.J. Abrams,5/2/13
Star Wars,,,,Feature Film,George Lucas,5/25/77
Star Wars: Episode I - The Phantom Menace,,,,Feature Film,George Lucas,5/16/99
Star Wars: Episode II - Attack of the Clones,,,,Feature Film,George Lucas,5/14/02
Star Wars: Episode III - Revenge of the Sith,,,,Feature Film,George Lucas,5/15/05
Star Wars: Episode V - The Empire Strikes Back,,,,Feature Film,Irvin Kershner,5/17/80
Star Wars: Episode VI - Return of the Jedi,,,,Feature Film,Richard Marquand,5/25/83
Stargate,,,,Feature Film,Roland Emmerich,10/28/94
Starship Troopers,,,,Feature Film,Paul Verhoeven,11/4/97
Step Brothers,,,,Feature Film,Adam McKay,7/25/08
Stranger Than Fiction,,,,Feature Film,Marc Forster,9/9/06
Stuck on You,,,,Feature Film,"Bobby Farrelly, Peter Farrelly",12/10/03
Super Troopers,,,,Feature Film,Jay Chandrasekhar,1/19/01
Superbad,,,,Feature Film,Greg Mottola,8/17/07
Superman,,,,Feature Film,Richard Donner,12/10/78
Terminator 2: Judgment Day,,,,Feature Film,James Cameron,7/1/91
The 40-Year-Old Virgin,,,,Feature Film,Judd Apatow,8/11/05
The A-Team,,,,Feature Film,Joe Carnahan,6/3/10
The Addams Family,,,,Feature Film,Barry Sonnenfeld,11/22/91
The Apartment,,,,Feature Film,Billy Wilder,6/15/60
The Big Lebowski,,,,Feature Film,Joel Coen,2/15/98
The Black Stallion,,,,Feature Film,Carroll Ballard,10/13/79
The Black Stallion Returns,,,,Feature Film,Robert Dalva,3/25/83
The Brothers Solomon,,,,Feature Film,Bob Odenkirk,9/7/07
The Congress,,,,Feature Film,Ari Folman,5/16/13
The Darjeeling Limited,,,,Feature Film,Wes Anderson,2007-08
The Dark Knight,,,,Feature Film,Christopher Nolan,7/14/08
The Departed,,,,Feature Film,Martin Scorsese,9/26/06
The Devil Wears Prada,,,,Feature Film,David Frankel,6/29/06
The Dog,,,,Feature Film,Pongpat Wachirabunjong,12/28/10
The Doors,,,,Feature Film,Oliver Stone,2/23/91
The Fifth Element,,,,Feature Film,Luc Besson,5/7/97
The Final Member,,,,Documentary,"Jonah Bekhor, Zach Math",5/1/12
The Golden Compass,,,,Feature Film,Chris Weitz,11/27/07
The Goonies,,,,Feature Film,Richard Donner,6/7/85
The Grand Budapest Hotel,,,,Feature Film,Wes Anderson,2/6/14
The Illusionist,,,,Feature Film,Neil Burger,4/27/06
The Incredibles,,,,Feature Film,Brad Bird,10/27/04
The Italian Job,,,,Feature Film,F. Gary Gray,5/30/03
The Kids in the Hall,,,,TV Series,"John Fortenberry, Kevin McDonald",10/16/88
The Lego Movie,,,,Feature Film,"Phil Lord, Christopher Miller",2/1/14
The Little Mermaid,,,,Feature Film,"Ron Clements, John Musker",11/15/89
The Lost World: Jurassic Park,,,,Feature Film,Steven Spielberg,5/19/97
The Matrix,,,,Feature Film,"The Wachowski Brothers, The Wachowski Brothers",3/24/99
The Mexican,,,,Feature Film,Gore Verbinski,3/2/01
The Other Guys,,,,Feature Film,Adam McKay,8/2/10
The Perfect Host,,,,Feature Film,Nick Tomnay,2010-01
The Philadelphia Story,,,,Feature Film,George Cukor,12/23/40
The Prestige,,,,Feature Film,Christopher Nolan,10/17/06
The Princess Bride,,,,Feature Film,Rob Reiner,9/18/87
The Ref,,,,Feature Film,Ted Demme,3/11/94
The Royal Tenenbaums,,,,Feature Film,Wes Anderson,10/5/01
The Rules of Attraction,,,,Feature Film,Roger Avary,10/11/02
The Santa Clause,,,,Feature Film,John Pasquin,11/11/94
The Santa Clause 2,,,,Feature Film,Michael Lembeck,10/27/02
The Shawshank Redemption,,,,Feature Film,Frank Darabont,9/10/94
The Simpsons Movie,,,,Feature Film,David Silverman,7/21/07
The Tale of Despereaux,,,,Feature Film,"Sam Fell, Robert Stevenhagen",12/17/08
The Thin Man,,,,Feature Film,W.S. Van Dyke,5/25/34
The Thin Man Goes Home,,,,Feature Film,Richard Thorpe,11/21/44
The Tick,,,,TV Series,,11/1/01
The Tree of Life,,,,Feature Film,Terrence Malick,5/16/11
The Village,,,,Feature Film,M. Night Shyamalan,7/26/04
The Visitor,,,,Feature Film,Mehmet Eryilmaz,9/1/15
The Wedding Planner,,,,Feature Film,Adam Shankman,1/26/01
The Wedding Singer,,,,Feature Film,Frank Coraci,2/13/98
There's Something About Mary,,,,Feature Film,"Bobby Farrelly, Peter Farrelly",7/15/98
This Is the End,,,,Feature Film,"Evan Goldberg, Seth Rogen",6/3/13
Thor: The Dark World,,,,Feature Film,Alan Taylor,10/22/13
Three Kings,,,,Feature Film,David O. Russell,9/27/99
Total Recall,,,,Feature Film,Paul Verhoeven,6/1/90
Trading Places,,,,Feature Film,John Landis,6/8/83
Trollhunter,,,,Feature Film,Andrí© íÖvredal,10/29/10
Tropic Thunder,,,,Feature Film,Ben Stiller,8/13/08
Unbreakable,,,,Feature Film,M. Night Shyamalan,11/14/00
Van Wilder,,,,Feature Film,Walt Becker,4/4/02
Walk the Line,,,,Feature Film,James Mangold,9/4/05
WALLŒ‡E,,,,Feature Film,Andrew Stanton,6/23/08
Wedding Crashers,,,,Feature Film,David Dobkin,7/13/05
What About Bob?,,,,Feature Film,Frank Oz,5/17/91
When Harry Met Sally...,,,,Feature Film,Rob Reiner,7/12/89
Where the Wild Things Are,,,,Feature Film,Spike Jonze,10/13/09
White Stripes: Under Blackpool Lights,,,,Documentary,Dick Carruthers,12/7/04
Working Girl,,,,Feature Film,Mike Nichols,12/20/88
Wreck-It Ralph,,,,Feature Film,Rich Moore,11/1/12
X-Men,,,,Feature Film,Bryan Singer,7/13/00
X-Men: First Class,,,,Feature Film,Matthew Vaughn,5/25/11
X-Men: The Last Stand,,,,Feature Film,Brett Ratner,5/22/06
X2,,,,Feature Film,Bryan Singer,4/24/03
Young Frankenstein,,,,Feature Film,Mel Brooks,12/15/74